DATE,CPALTT01USM661S
2007-01-01,85.8322398815275
2007-02-01,86.1651273959252
2007-03-01,86.6131965217684
2007-04-01,86.8730934911842
2007-05-01,87.2321394667893
2007-06-01,87.4342346751499
2007-07-01,87.5899197104005
2007-08-01,87.6169219929372
2007-09-01,87.9882033778168
2007-10-01,88.2594919351776
2007-11-01,88.953113067839
2007-12-01,89.2109004839315
2008-01-01,89.5184733584511
2008-02-01,89.7349135294093
2008-03-01,90.0559875451972
2008-04-01,90.2644114135273
2008-05-01,90.7985503149563
2008-06-01,91.7499588637102
2008-07-01,92.4051861258897
2008-08-01,92.2676432492184
2008-09-01,92.3465405435053
2008-10-01,91.5525046726606
2008-11-01,89.9315238991296
2008-12-01,89.1910706826936
2009-01-01,89.4167928882738
2009-02-01,89.7425079213727
2009-03-01,89.6539066817992
2009-04-01,89.7441955640313
2009-05-01,89.8762536020623
2009-06-01,90.6221916571385
2009-07-01,90.5951893746018
2009-08-01,90.898543142475
2009-09-01,91.0740579789635
2009-10-01,91.3474560896476
2009-11-01,91.6533413215086
2009-12-01,91.7010172266124
2010-01-01,91.7605066303261
2010-02-01,91.6731711227465
2010-03-01,91.7035486906002
2010-04-01,91.724644223832
2010-05-01,91.6769683187282
2010-06-01,91.6385744482463
2010-07-01,91.8098701780885
2010-08-01,91.9440377694427
2010-09-01,92.0925503233945
2010-10-01,92.4132024285178
2010-11-01,92.6473628473907
2010-12-01,93.0194880535995
2011-01-01,93.3211541788142
2011-02-01,93.6211326613703
2011-03-01,94.1054861043722
2011-04-01,94.547226570246
2011-05-01,94.8480488741314
2011-06-01,94.8480488741314
2011-07-01,95.0965542556019
2011-08-01,95.396532738158
2011-09-01,95.6036908744942
2011-10-01,95.6682432061835
2011-11-01,95.8450237746659
2011-12-01,95.8678069505563
2012-01-01,96.1289696519659
2012-02-01,96.3344401456436
2012-03-01,96.5361134433395
2012-04-01,96.6964394959011
2012-05-01,96.4964538408637
2012-06-01,96.4167127252475
2012-07-01,96.4445588291135
2012-08-01,97.00485619175
2012-09-01,97.4676921908555
2012-10-01,97.7305425349236
2012-11-01,97.5664192863803
2012-12-01,97.5546057877705
2013-01-01,97.7478408721737
2013-02-01,98.2786044882856
2013-03-01,98.0022530029491
2013-04-01,97.7976263306007
2013-05-01,97.8381297544058
2013-06-01,98.0710244412848
2013-07-01,98.2629937936941
2013-08-01,98.4975761232316
2013-09-01,98.5347042617196
2013-10-01,98.5874430947991
2013-11-01,98.7692865912572
2013-12-01,99.0304492926668
2014-01-01,99.2705164608446
2014-02-01,99.3797913229852
2014-03-01,99.5827303526751
2014-04-01,99.7683710451149
2014-05-01,99.958230844201
2014-06-01,100.090288882232
2014-07-01,100.20293902969
2014-08-01,100.186906424434
2014-09-01,100.194078905732
2014-10-01,100.174249104495
2014-11-01,99.9856550374024
2014-12-01,99.6772383415536
2015-01-01,99.0422627912766
2015-02-01,99.2932996367349
2015-03-01,99.560790998114
2015-04-01,99.6645810216145
2015-05-01,99.9932494293658
2015-06-01,100.270022825367
2015-07-01,100.429083145935
2015-08-01,100.42866123527
2015-09-01,100.20293902969
2015-10-01,100.302088035879
2015-11-01,100.421910664636
2015-12-01,100.313901534489
2016-01-01,100.267913272044
2016-02-01,100.134589502019
2016-03-01,100.448491036508
2016-04-01,100.833273562656
2016-05-01,101.071653088175
2016-06-01,101.352223680158
2016-07-01,101.301172489737
2016-08-01,101.488500824835
2016-09-01,101.754726454221
2016-10-01,101.99310597974
2016-11-01,102.113350519161
2016-12-01,102.371137935254
2017-01-01,102.785032297261
2017-02-01,102.94873363514
2017-03-01,102.900635819372
2017-04-01,103.027630929427
2017-05-01,102.947889813811
2017-06-01,103.014973609488
2017-07-01,103.048726462659
2017-08-01,103.445322487416
2017-09-01,103.973554639541
2017-10-01,104.054139576486
2017-11-01,104.331756793816
2017-12-01,104.551572250092
2018-01-01,104.94732445352
2018-02-01,105.240974276107
2018-03-01,105.300885590485
2018-04-01,105.539265116004
2018-05-01,105.806334566719
2018-06-01,105.94936228203
2018-07-01,106.035853968281
2018-08-01,106.215587911416
2018-09-01,106.422324137087
2018-10-01,106.685174481155
2018-11-01,106.598682794905
2018-12-01,106.553960264454
2019-01-01,106.519785500618
2019-02-01,106.800356092601
2019-03-01,107.280490428957
2019-04-01,107.655990920482
2019-05-01,107.724340448153
2019-06-01,107.73952923208
2019-07-01,107.966939080319
2019-08-01,108.084652155753
2019-09-01,108.260588902906
2019-10-01,108.559723564133
2019-11-01,108.763506415152
2019-12-01,108.963913980854
2020-01-01,109.140694549336
2020-02-01,109.277815515343
2020-03-01,108.922566735719
2020-04-01,108.048789749258
2020-05-01,107.985503149563
2020-06-01,108.522595425645
2020-07-01,109.082048966952
2020-08-01,109.519570326179
2020-09-01,109.776935831607
2020-10-01,109.845285359278
2020-11-01,110.000970394529
2020-12-01,110.356641084817
2021-01-01,110.624976267525
2021-02-01,111.108485889198
2021-03-01,111.818139627115
2021-04-01,112.534965846332
2021-05-01,113.32478261053
2021-06-01,114.318804136412
2021-07-01,114.83733234325
2021-08-01,115.220427226739
2021-09-01,115.69381099246
2021-10-01,116.696270731635
2021-11-01,117.512245957041
2021-12-01,118.188146841788
2022-01-01,118.950539412785
