,DATE,Consumer Price Index,Open,High,Low,Close,Adj Close,Volume,VIX,Unemployment Rate,Federal Interest Rates
0,2007-01-03,85.8322398815275,1418.030029296875,1429.4200439453125,1407.8599853515625,1416.5999755859375,1416.5999755859375,3429160000.0,12.04,4.6,5.25
1,2007-01-04,85.8322398815275,1416.5999755859375,1421.8399658203125,1408.4300537109375,1418.3399658203125,1418.3399658203125,3004460000.0,11.51,4.6,5.25
2,2007-01-05,85.8322398815275,1418.3399658203125,1418.3399658203125,1405.75,1409.7099609375,1409.7099609375,2919400000.0,12.14,4.6,5.25
3,2007-01-08,85.8322398815275,1409.260009765625,1414.97998046875,1403.969970703125,1412.8399658203125,1412.8399658203125,2763340000.0,12.00,4.6,5.25
4,2007-01-09,85.8322398815275,1412.8399658203125,1415.6099853515625,1405.4200439453125,1412.1099853515625,1412.1099853515625,3038380000.0,11.91,4.6,5.25
5,2007-01-10,85.8322398815275,1408.699951171875,1415.989990234375,1405.3199462890625,1414.8499755859375,1414.8499755859375,2764660000.0,11.47,4.6,5.25
6,2007-01-11,85.8322398815275,1414.8399658203125,1427.1199951171875,1414.8399658203125,1423.8199462890625,1423.8199462890625,2857870000.0,10.87,4.6,5.25
7,2007-01-12,85.8322398815275,1423.8199462890625,1431.22998046875,1422.5799560546875,1430.72998046875,1430.72998046875,2686480000.0,10.15,4.6,5.25
8,2007-01-16,85.8322398815275,1430.72998046875,1433.9300537109375,1428.6199951171875,1431.9000244140625,1431.9000244140625,2599530000.0,10.74,4.6,5.25
9,2007-01-17,85.8322398815275,1431.77001953125,1435.27001953125,1428.5699462890625,1430.6199951171875,1430.6199951171875,2690270000.0,10.59,4.6,5.25
10,2007-01-18,85.8322398815275,1430.5899658203125,1432.9599609375,1424.2099609375,1426.3699951171875,1426.3699951171875,2822430000.0,10.85,4.6,5.25
11,2007-01-19,85.8322398815275,1426.3499755859375,1431.5699462890625,1425.18994140625,1430.5,1430.5,2777480000.0,10.40,4.6,5.25
12,2007-01-22,85.8322398815275,1430.469970703125,1431.3900146484375,1420.4000244140625,1422.949951171875,1422.949951171875,2540120000.0,10.77,4.6,5.25
13,2007-01-23,85.8322398815275,1422.949951171875,1431.3299560546875,1421.6600341796875,1427.989990234375,1427.989990234375,2975070000.0,10.34,4.6,5.25
14,2007-01-24,85.8322398815275,1427.9599609375,1440.1400146484375,1427.9599609375,1440.1300048828125,1440.1300048828125,2783180000.0,9.89,4.6,5.25
15,2007-01-25,85.8322398815275,1440.1199951171875,1440.68994140625,1422.3399658203125,1423.9000244140625,1423.9000244140625,2994330000.0,11.22,4.6,5.25
16,2007-01-26,85.8322398815275,1423.9000244140625,1427.27001953125,1416.9599609375,1422.1800537109375,1422.1800537109375,2626620000.0,11.13,4.6,5.25
17,2007-01-29,85.8322398815275,1422.030029296875,1426.93994140625,1418.4599609375,1420.6199951171875,1420.6199951171875,2730480000.0,11.45,4.6,5.25
18,2007-01-30,85.8322398815275,1420.6099853515625,1428.8199462890625,1420.6099853515625,1428.8199462890625,1428.8199462890625,2706250000.0,10.96,4.6,5.25
