SP2,SP1,CP1,VX1,UR1,LB1
1416.5999755859375,1418.030029296875,85.8322398815275,12.04,4.6,5.25
1418.3399658203125,1416.5999755859375,85.8322398815275,11.51,4.6,5.25
1409.7099609375,1418.3399658203125,85.8322398815275,12.14,4.6,5.25
1412.8399658203125,1409.260009765625,85.8322398815275,12.0,4.6,5.25
1412.1099853515625,1412.8399658203125,85.8322398815275,11.91,4.6,5.25
1414.8499755859375,1408.699951171875,85.8322398815275,11.47,4.6,5.25
1423.8199462890625,1414.8399658203125,85.8322398815275,10.87,4.6,5.25
1430.72998046875,1423.8199462890625,85.8322398815275,10.15,4.6,5.25
1431.9000244140625,1430.72998046875,85.8322398815275,10.74,4.6,5.25
1430.6199951171875,1431.77001953125,85.8322398815275,10.59,4.6,5.25
1426.3699951171875,1430.5899658203125,85.8322398815275,10.85,4.6,5.25
1430.5,1426.3499755859375,85.8322398815275,10.4,4.6,5.25
1422.949951171875,1430.469970703125,85.8322398815275,10.77,4.6,5.25
1427.989990234375,1422.949951171875,85.8322398815275,10.34,4.6,5.25
1440.1300048828125,1427.9599609375,85.8322398815275,9.89,4.6,5.25
1423.9000244140625,1440.1199951171875,85.8322398815275,11.22,4.6,5.25
1422.1800537109375,1423.9000244140625,85.8322398815275,11.13,4.6,5.25
1420.6199951171875,1422.030029296875,85.8322398815275,11.45,4.6,5.25
1428.8199462890625,1420.6099853515625,85.8322398815275,10.96,4.6,5.25
1438.239990234375,1428.6500244140625,85.8322398815275,10.42,4.6,5.25
1445.93994140625,1437.9000244140625,86.1651273959252,10.31,4.5,5.26
1448.3900146484375,1445.93994140625,86.1651273959252,10.08,4.5,5.26
1446.989990234375,1448.3299560546875,86.1651273959252,10.55,4.5,5.26
1448.0,1446.97998046875,86.1651273959252,10.65,4.5,5.26
1450.02001953125,1447.4100341796875,86.1651273959252,10.32,4.5,5.26
1448.31005859375,1449.989990234375,86.1651273959252,10.44,4.5,5.26
1438.06005859375,1448.25,86.1651273959252,11.1,4.5,5.26
1433.3699951171875,1438.0,86.1651273959252,11.61,4.5,5.26
1444.260009765625,1433.219970703125,86.1651273959252,10.34,4.5,5.26
1455.300048828125,1443.9100341796875,86.1651273959252,10.23,4.5,5.26
1456.81005859375,1455.1500244140625,86.1651273959252,10.22,4.5,5.26
1455.5400390625,1456.77001953125,86.1651273959252,10.02,4.5,5.26
1459.6800537109375,1455.530029296875,86.1651273959252,10.24,4.5,5.26
1457.6300048828125,1459.5999755859375,86.1651273959252,10.2,4.5,5.26
1456.3800048828125,1457.2900390625,86.1651273959252,10.18,4.5,5.26
1451.18994140625,1456.219970703125,86.1651273959252,10.58,4.5,5.26
1449.3699951171875,1451.0400390625,86.1651273959252,11.15,4.5,5.26
1399.0400390625,1449.25,86.1651273959252,18.31,4.5,5.26
1406.8199462890625,1398.6400146484375,86.1651273959252,15.42,4.5,5.26
1403.1700439453125,1406.800048828125,86.6131965217684,15.82,4.4,5.26
1387.1700439453125,1403.1600341796875,86.6131965217684,18.61,4.4,5.26
1374.1199951171875,1387.1099853515625,86.6131965217684,19.63,4.4,5.26
1395.4100341796875,1374.06005859375,86.6131965217684,15.96,4.4,5.26
1391.969970703125,1395.02001953125,86.6131965217684,15.24,4.4,5.26
1401.8900146484375,1391.8800048828125,86.6131965217684,14.29,4.4,5.26
1402.8399658203125,1401.8900146484375,86.6131965217684,14.09,4.4,5.26
1406.5999755859375,1402.800048828125,86.6131965217684,13.99,4.4,5.26
1377.949951171875,1406.22998046875,86.6131965217684,18.13,4.4,5.26
1387.1700439453125,1377.8599853515625,86.6131965217684,17.27,4.4,5.26
1392.280029296875,1387.1099853515625,86.6131965217684,16.43,4.4,5.26
1386.949951171875,1392.280029296875,86.6131965217684,16.79,4.4,5.26
1402.06005859375,1386.949951171875,86.6131965217684,14.59,4.4,5.26
1410.93994140625,1402.0400390625,86.6131965217684,13.27,4.4,5.26
1435.0400390625,1410.9200439453125,86.6131965217684,12.19,4.4,5.26
1434.5400390625,1435.0400390625,86.6131965217684,12.93,4.4,5.26
1436.1099853515625,1434.5400390625,86.6131965217684,12.95,4.4,5.26
1437.5,1436.1099853515625,86.6131965217684,13.16,4.4,5.26
1428.6099853515625,1437.489990234375,86.6131965217684,13.48,4.4,5.26
1417.22998046875,1428.3499755859375,86.6131965217684,14.98,4.4,5.26
1422.530029296875,1417.1700439453125,86.6131965217684,15.14,4.4,5.26
1420.8599853515625,1422.52001953125,86.6131965217684,14.64,4.4,5.26
1424.550048828125,1420.8299560546875,86.8730934911842,14.53,4.5,5.25
1437.77001953125,1424.27001953125,86.8730934911842,13.46,4.5,5.25
1439.3699951171875,1437.75,86.8730934911842,13.24,4.5,5.25
1443.760009765625,1438.93994140625,86.8730934911842,13.23,4.5,5.25
1444.6099853515625,1443.77001953125,86.8730934911842,13.14,4.5,5.25
1448.3900146484375,1444.5799560546875,86.8730934911842,12.68,4.5,5.25
1438.8699951171875,1448.22998046875,86.8730934911842,13.49,4.5,5.25
1447.800048828125,1438.8699951171875,86.8730934911842,12.71,4.5,5.25
1452.8499755859375,1447.800048828125,86.8730934911842,12.2,4.5,5.25
1468.3299560546875,1452.8399658203125,86.8730934911842,11.98,4.5,5.25
1471.47998046875,1468.469970703125,86.8730934911842,12.14,4.5,5.25
1472.5,1471.469970703125,86.8730934911842,12.42,4.5,5.25
1470.72998046875,1472.47998046875,86.8730934911842,12.54,4.5,5.25
1484.3499755859375,1470.68994140625,86.8730934911842,12.07,4.5,5.25
1480.9300537109375,1484.3299560546875,86.8730934911842,13.04,4.5,5.25
1480.4100341796875,1480.9300537109375,86.8730934911842,13.12,4.5,5.25
1495.4200439453125,1480.280029296875,86.8730934911842,13.21,4.5,5.25
1494.25,1495.27001953125,86.8730934911842,12.79,4.5,5.25
1494.0699462890625,1494.2099609375,86.8730934911842,12.45,4.5,5.25
1482.3699951171875,1494.0699462890625,86.8730934911842,14.22,4.5,5.25
1486.300048828125,1482.3699951171875,87.2321394667893,13.51,4.4,5.25
1495.9200439453125,1486.1300048828125,87.2321394667893,13.08,4.4,5.25
1502.3900146484375,1495.56005859375,87.2321394667893,13.09,4.4,5.25
1505.6199951171875,1502.3499755859375,87.2321394667893,12.91,4.4,5.25
1509.47998046875,1505.5699462890625,87.2321394667893,13.15,4.4,5.25
1507.719970703125,1509.3599853515625,87.2321394667893,13.21,4.4,5.25
1512.5799560546875,1507.3199462890625,87.2321394667893,12.88,4.4,5.25
1491.469970703125,1512.3299560546875,87.2321394667893,13.6,4.4,5.25
1505.8499755859375,1491.469970703125,87.2321394667893,12.95,4.4,5.25
1503.1500244140625,1505.760009765625,87.2321394667893,13.96,4.4,5.25
1501.18994140625,1503.1099853515625,87.2321394667893,14.01,4.4,5.25
1514.1400146484375,1500.75,87.2321394667893,13.5,4.4,5.25
1512.75,1514.010009765625,87.2321394667893,13.51,4.4,5.25
1522.75,1512.739990234375,87.2321394667893,12.76,4.4,5.25
1525.0999755859375,1522.75,87.2321394667893,13.3,4.4,5.25
1524.1199951171875,1525.0999755859375,87.2321394667893,13.06,4.4,5.25
1522.280029296875,1524.0899658203125,87.2321394667893,13.24,4.4,5.25
1507.510009765625,1522.0999755859375,87.2321394667893,14.08,4.4,5.25
1515.72998046875,1507.5,87.2321394667893,13.34,4.4,5.25
1518.1099853515625,1515.550048828125,87.2321394667893,13.53,4.4,5.25
1530.22998046875,1517.5999755859375,87.2321394667893,12.83,4.4,5.25
